171514,ÇvÇbÇlÅ@ê¢äEê¨í∑äîåµëIÉtÉ@ÉìÉhÅió\ëzï™îzã‡íÒé¶å^Åj,,,
2024/11/21,13403,15230,6631,0
2024/11/22,13531,15376,6717,0
2024/11/25,13228,15486,6632,400
2024/11/26,13207,15461,6653,0
2024/11/27,13183,15433,6647,0
2024/11/28,13040,15266,6618,0
2024/11/29,12966,15179,6593,0
2024/12/02,12958,15170,6589,0
2024/12/03,12952,15163,6588,0
2024/12/04,13109,15347,6681,0
2024/12/05,13333,15609,6793,0
2024/12/06,13312,15584,6785,0
2024/12/09,13381,15665,6840,0
2024/12/10,13155,15401,6748,0
2024/12/11,12965,15178,6686,0
2024/12/12,13186,15437,6863,0
2024/12/13,13122,15362,6771,0
2024/12/16,13174,15423,6839,0
2024/12/17,13354,15633,6977,0
2024/12/18,13189,15440,6930,0
2024/12/19,12862,15058,6795,0
2024/12/20,13114,15353,6987,0
2024/12/23,13151,15396,7075,0
2024/12/24,13234,15493,7231,0
2024/12/25,12894,15563,7387,400
2024/12/26,12897,15567,7509,0
2024/12/27,12973,15659,7553,0
2024/12/30,12854,15515,7602,0
2025/01/06,13006,15698,7741,0
2025/01/07,13216,15952,7889,0
2025/01/08,13028,15725,7779,0
2025/01/09,13123,15840,7874,0
2025/01/10,13112,15826,7913,0
2025/01/14,12811,15463,7731,0
2025/01/15,13003,15695,7925,0
2025/01/16,12995,15685,8257,0
2025/01/17,12996,15686,8360,0
2025/01/20,13153,15876,8505,0
2025/01/21,13176,15904,8637,0
2025/01/22,13247,15989,8684,0
2025/01/23,13526,16326,10046,0
2025/01/24,13546,16350,10284,0
2025/01/27,13082,16273,10285,400
2025/01/28,12387,15408,9781,0
2025/01/29,12727,15831,9642,0
2025/01/30,12714,15815,9860,0
2025/01/31,12824,15952,10466,0
2025/02/03,12947,16105,10845,0
2025/02/04,12813,15938,10770,0
2025/02/05,12847,15981,10822,0
2025/02/06,12843,15976,10879,0
2025/02/07,12798,15920,10959,0
2025/02/10,12648,15733,10949,0
2025/02/12,12762,15875,11104,0
2025/02/13,12892,16037,11293,0
2025/02/14,13156,16365,11696,0
2025/02/17,13155,16364,11805,0
2025/02/18,13237,16466,12015,0
2025/02/19,13357,16615,12123,0
2025/02/20,13161,16371,12294,0
2025/02/21,12801,15923,12193,0
2025/02/25,12124,15454,12534,300
2025/02/26,11886,15151,12962,0
2025/02/27,11971,15259,13322,0
2025/02/28,11871,15132,13407,0
2025/03/03,12015,15316,13883,0
2025/03/04,11802,15044,13606,0
2025/03/05,11719,14938,13611,0
2025/03/06,11985,15277,14029,0
2025/03/07,11469,14620,13498,0
2025/03/10,11343,14459,13449,0
2025/03/11,10740,13690,12803,0
2025/03/12,11078,14121,13260,0
2025/03/13,11341,14456,13513,0
2025/03/14,11164,14231,13299,0
2025/03/17,11538,14708,13868,0
2025/03/18,11820,15067,14281,0
2025/03/19,11627,14821,14144,0
2025/03/21,11654,14855,14297,0
2025/03/24,11684,14894,14535,0
2025/03/25,11866,15381,15143,200
2025/03/26,11817,15317,15325,0
2025/03/27,11615,15055,15211,0
2025/03/28,11400,14777,14966,0
2025/03/31,11118,14411,14669,0
2025/04/01,10994,14250,14681,0
2025/04/02,11226,14551,15000,0
2025/04/03,11212,14533,15044,0
2025/04/04,10475,13578,14069,0
2025/04/07,9657,12517,13066,0
2025/04/08,9685,12554,13142,0
2025/04/09,9660,12521,12973,0
2025/04/10,10349,13414,14009,0
2025/04/11,10030,13001,13342,0
2025/04/14,10102,13094,13580,0
2025/04/15,10272,13314,13886,0
2025/04/16,10408,13491,14123,0
2025/04/17,10235,13266,13937,0
2025/04/18,10324,13382,14091,0
2025/04/21,10266,13307,14066,0
2025/04/22,10055,13033,13777,0
2025/04/23,10291,13339,14163,0
2025/04/24,10580,13714,14485,0
2025/04/25,10739,14049,14771,100
2025/04/28,10896,14255,15144,0
2025/04/30,10997,14387,15152,0
2025/05/01,10955,14332,15153,0
2025/05/02,11236,14700,15589,0
2025/05/07,11476,15014,15995,0
2025/05/08,11474,15011,15968,0
2025/05/09,11887,15551,16632,0
2025/05/12,11824,15469,16623,0
2025/05/13,12161,15910,18215,0
2025/05/14,12387,16205,18675,0
2025/05/15,12385,16203,18728,0
2025/05/16,12318,16115,18711,0
2025/05/19,12346,16152,19073,0
2025/05/20,12505,16360,19481,0
2025/05/21,12443,16279,19468,0
2025/05/22,12350,16157,20492,0
2025/05/23,12390,16209,20745,0
2025/05/26,12022,16120,20618,300
2025/05/27,12031,16132,20881,0
2025/05/28,12383,16604,21492,0
2025/05/29,12536,16810,22028,0
2025/05/30,12346,16555,21834,0
2025/06/02,12341,16548,22083,0
2025/06/03,12430,16667,22034,0
2025/06/04,12630,16936,22574,0
2025/06/05,12595,16889,22665,0
2025/06/06,12807,17173,23415,0
2025/06/09,12904,17303,23720,0
2025/06/10,12712,17046,23544,0
2025/06/11,12495,16755,23407,0
2025/06/12,12531,16803,23903,0
2025/06/13,12430,16667,24006,0
2025/06/16,12378,16598,24508,0
2025/06/17,12628,16933,25425,0
2025/06/18,12580,16869,25770,0
2025/06/19,12510,16775,25993,0
2025/06/20,12498,16759,26515,0
2025/06/23,12523,16792,26568,0
2025/06/24,12572,16858,27723,0
2025/06/25,12452,17099,28114,300
2025/06/26,12450,17096,29065,0
2025/06/27,12627,17340,29753,0
2025/06/30,12673,17403,29967,0
2025/07/01,12721,17469,30436,0
2025/07/02,12423,17059,29886,0
2025/07/03,12418,17053,30176,0
2025/07/04,12602,17305,31153,0
2025/07/07,12585,17282,31690,0
2025/07/08,12800,17577,32231,0
2025/07/09,12810,17591,33203,0
2025/07/10,12852,17648,33807,0
2025/07/11,12822,17607,34277,0
2025/07/14,12831,17620,34643,0
2025/07/15,13040,17907,35729,0
2025/07/16,13138,18041,36820,0
2025/07/17,13120,18016,37538,0
2025/07/18,13300,18264,39047,0
2025/07/22,13172,18088,39610,0
2025/07/23,12932,17758,40117,0
2025/07/24,13227,18163,43074,0
2025/07/25,12806,18135,43042,400
2025/07/28,12923,18300,45181,0
2025/07/29,12923,18300,45670,0
2025/07/30,12979,18380,46716,0
2025/07/31,13131,18595,47827,0
2025/08/01,13238,18746,48967,0
2025/08/04,12743,18045,47600,0
2025/08/05,12869,18224,48608,0
2025/08/06,12847,18193,49199,0
2025/08/07,12971,18368,50432,0
2025/08/08,13022,18440,51228,0
2025/08/12,13039,18465,51762,0
2025/08/13,13346,18899,53505,0
2025/08/14,13185,18671,53485,0
2025/08/15,13120,18579,53637,0
2025/08/18,13097,18547,54048,0
2025/08/19,13220,18721,55491,0
2025/08/20,12939,18323,55814,0
2025/08/21,12896,18262,57034,0
2025/08/22,13042,18469,59618,0
2025/08/25,12755,18629,59906,400
2025/08/26,12785,18673,62409,0
2025/08/27,12954,18919,64410,0
2025/08/28,12899,18839,64923,0
2025/08/29,13023,19020,66243,0
2025/09/01,12954,18919,66508,0
2025/09/02,13010,19001,67077,0
2025/09/03,12975,18950,66899,0
2025/09/04,13041,19047,68683,0
2025/09/05,13243,19342,70185,0
2025/09/08,13321,19455,71432,0
2025/09/09,13504,19723,73302,0
2025/09/10,13564,19810,74023,0
2025/09/11,13673,19970,75402,0
2025/09/12,13741,20069,77362,0
2025/09/16,13888,20284,79700,0
2025/09/17,13763,20101,80155,0
2025/09/18,13742,20070,82480,0
2025/09/19,14012,20465,86085,0
2025/09/22,14110,20608,88918,0
2025/09/24,14129,20636,91783,0
2025/09/25,13702,20742,92576,500
2025/09/26,13695,20732,97208,0
2025/09/29,13786,20869,99153,0
2025/09/30,13904,21048,104347,0
2025/10/01,13889,21025,105271,0
2025/10/02,13826,20930,105762,0
2025/10/03,13922,21075,107171,0
2025/10/06,14084,21320,109650,0
2025/10/07,13981,21165,109929,0
2025/10/08,14200,21496,113072,0
2025/10/09,14437,21855,116342,0
2025/10/10,14284,21623,118765,0
2025/10/14,13954,21124,117537,0
2025/10/15,13800,20891,117890,0
2025/10/16,13674,20700,118469,0
2025/10/17,13616,20612,119494,0
2025/10/20,13454,20367,119907,0
2025/10/21,13532,20485,122108,0
2025/10/22,13571,20544,124979,0
2025/10/23,13504,20442,126649,0
2025/10/24,13823,20925,132209,0
2025/10/27,13742,21408,133826,400
2025/10/28,13834,21552,139811,0
2025/10/29,13663,21285,139066,0
2025/10/30,13816,21524,140743,0
2025/10/31,13824,21536,140854,0
2025/11/04,13873,21612,142363,0
2025/11/05,13555,21117,139501,0
2025/11/06,13629,21232,140746,0
2025/11/07,13423,20911,138940,0
2025/11/10,13509,21045,141495,0
2025/11/11,13777,21463,145366,0
2025/11/12,13556,21118,144497,0
2025/11/13,13630,21234,146242,0
2025/11/14,13228,20607,142612,0
2025/11/17,13287,20699,144634,0
2025/11/18,13261,20659,145903,0
2025/11/19,13069,20360,145711,0
2025/11/20,13184,20539,148372,0
2025/11/21,12962,20193,147601,0
2025/11/25,12736,20308,147471,300
2025/11/26,12823,20447,151520,0
2025/11/27,12994,20720,154750,0
2025/11/28,13083,20862,156757,0
2025/12/01,13118,20918,157182,0
2025/12/02,12975,20689,156016,0
2025/12/03,13054,20815,157505,0
2025/12/04,13043,20798,157702,0
2025/12/05,13219,21079,160533,0
2025/12/08,13239,21110,161419,0
2025/12/09,13312,21227,162854,0
2025/12/10,13487,21506,165980,0
2025/12/11,13460,21463,166510,0
2025/12/12,13547,21602,168526,0
2025/12/15,13298,21205,166521,0
2025/12/16,13226,21090,167056,0
2025/12/17,13097,20884,167026,0
2025/12/18,12966,20675,167024,0
2025/12/19,13228,21093,171779,0
2025/12/22,13563,21627,178085,0
2025/12/23,13657,21777,181297,0
2025/12/24,13654,21772,183510,0
2025/12/25,13227,21729,180314,400
2025/12/26,13276,21810,184142,0
2025/12/29,13257,21778,183884,0
2025/12/30,13200,21685,184795,0
2026/01/05,13327,21893,187012,0
2026/01/06,13606,22352,191449,0
2026/01/07,13743,22577,194363,0
2026/01/08,13807,22682,196554,0
2026/01/09,13668,22454,194958,0
2026/01/13,14043,23070,201386,0
2026/01/14,14178,23291,204516,0
2026/01/15,13877,22797,201971,0
2026/01/16,13987,22978,204482,0
2026/01/19,13957,22928,205659,0
2026/01/20,13982,22969,208542,0
2026/01/21,13962,22937,208235,0
2026/01/22,13923,22873,213337,0
2026/01/23,13909,22850,216469,0
2026/01/26,13318,22536,211456,400
2026/01/27,13221,22372,215308,0
2026/01/28,13266,22448,218475,0
2026/01/29,13303,22510,221412,0
2026/01/30,13303,22510,223647,0
2026/02/02,13225,22378,224391,0
2026/02/03,13264,22444,226595,0
2026/02/04,13435,22734,231245,0
2026/02/05,13108,22180,227412,0
2026/02/06,13048,22079,228235,0
2026/02/09,13380,22641,236165,0
2026/02/10,13672,23135,243298,0
2026/02/12,13450,22759,241026,0
2026/02/13,13122,22204,236807,0
2026/02/16,13255,22429,240426,0
2026/02/17,13328,22553,243578,0
2026/02/18,13301,22507,243096,0
2026/02/19,13583,22984,253400,0
2026/02/20,13618,23043,256388,0
2026/02/24,13484,22817,257258,0
2026/02/25,13315,23208,256915,400
2026/02/26,13447,23438,266616,0
2026/02/27,13368,23300,266850,0
2026/03/02,13305,23190,268163,0
2026/03/03,13294,23171,268990,0
2026/03/04,12828,22359,260440,0
2026/03/05,12961,22591,264323,0
2026/03/06,12801,22312,261489,0
2026/03/09,12706,22146,262847,0
2026/03/10,12681,22102,264415,0
2026/03/11,12927,22531,270576,0
2026/03/12,12885,22458,272549,0
2026/03/13,12592,21947,268914,0
2026/03/16,12453,21705,268262,0
2026/03/17,12614,21986,273686,0
2026/03/18,12798,22306,278927,0
2026/03/19,12795,22301,280668,0
2026/03/23,12187,21241,270271,0
2026/03/24,12293,21426,275483,0
2026/03/25,12084,21585,273818,300
2026/03/26,12307,21983,284493,0
2026/03/27,11818,21110,275484,0
2026/03/30,11585,20693,271720,0
2026/03/31,11397,20358,268496,0
2026/04/01,11630,20774,273659,0
2026/04/02,12035,21497,283726,0
2026/04/03,11948,21342,283898,0
2026/04/06,11959,21362,285772,0
2026/04/07,12048,21521,287908,0
2026/04/08,11934,21317,287470,0
2026/04/09,12602,22510,304653,0
2026/04/10,12652,22599,308787,0
2026/04/13,12742,22760,312362,0
2026/04/14,12834,22925,315385,0
2026/04/15,13059,23326,321598,0
2026/04/16,13147,23484,324997,0
2026/04/17,13121,23437,326563,0
2026/04/20,13327,23805,333526,0
2026/04/21,13286,23732,334320,0
2026/04/22,13115,23426,332400,0
2026/04/23,13142,23475,335902,0
2026/04/24,13169,23523,340155,0
2026/04/27,12770,23525,332852,400
2026/04/28,12814,23606,339176,0
2026/04/30,12640,23285,336441,0
2026/05/01,12611,23232,338585,0
2026/05/07,13203,24322,356885,0
2026/05/08,13046,24033,354412,0
2026/05/11,12879,23725,352393,0
2026/05/12,12960,23875,355884,0
2026/05/13,12843,23659,354703,0
2026/05/14,12902,23768,358827,0
2026/05/15,12905,23773,361751,0
2026/05/18,12637,23280,357656,0
2026/05/19,12616,23241,359987,0
2026/05/20,12505,23036,360258,0
2026/05/21,12717,23427,369424,0
2026/05/22,12892,23749,379132,0
2026/05/25,12600,23764,375201,300
2026/05/26,12701,23955,385947,0
2026/05/27,12879,24290,391349,0
2026/05/28,13033,24581,399097,0
2026/05/29,13038,24590,400181,0
2026/06/01,13119,24743,404101,0
2026/06/02,13041,24596,401727,0
2026/06/03,13131,24766,405738,0
2026/06/04,13002,24522,403086,0
2026/06/05,13036,24586,405172,0
2026/06/08,12751,24049,397695,0
2026/06/09,12596,23757,394824,0
2026/06/10,12695,23943,400127,0
2026/06/11,12409,23404,393869,0
2026/06/12,12660,23877,404804,0
2026/06/15,12940,24405,417041,0
2026/06/16,13167,24834,427655,0
2026/06/17,13227,24947,432523,0
2026/06/18,13244,24979,435064,0
2026/06/19,13403,25279,442365,0
2026/06/22,13467,25399,447278,0
2026/06/23,13607,25663,451940,0
2026/06/24,13341,25162,449462,0
2026/06/25,12997,25267,441167,400
2026/06/26,13144,25553,452884,0
2026/06/29,12940,25157,448260,0
2026/06/30,13133,25532,458004,0
2026/07/01,13402,26055,469385,0
2026/07/02,13515,26274,475763,0
2026/07/03,13228,25716,467295,0
2026/07/06,13343,25940,472479,0
2026/07/07,13495,26235,477849,0
2026/07/08,13189,25641,471171,0
2026/07/09,12985,25244,466036,0
2026/07/10,13135,25536,474691,0
2026/07/13,13098,25464,476874,0
2026/07/14,12777,24840,469234,0
2026/07/15,12850,24982,475666,0
2026/07/16,13013,25298,486723,0
2026/07/17,12814,24912,484443,0
2026/07/21,12702,24694,483509,0
2026/07/22,13011,25295,500136,0
2026/07/23,12904,25087,502126,0
2026/07/24,12898,25075,506065,0
2026/07/27,12453,24793,492771,300
2026/07/28,12519,24924,508588,0
2026/07/29,12323,24534,503339,0
2026/07/30,12122,24134,498880,0
2026/07/31,12124,24138,502345,0
